ID,Site,hor_name,Hor_cat,depth,SOC,ANPP,MAT,MAP,SAND2,CLAY2,LIG,N,C,CN,l_frac,OCC,h_frac,HWE,CWE,HWE_CWE,SOMp_est,SOMc_est,Age_C14,pH,SSA,BD,moist_cont,resp_i
DEJU_A,DEJU,A,A,8.5,NA,0.5,-3.1,443,33.54,6.92,15.335,0.338823529,50.86411765,75.2,NA,NA,NA,2.94E-05,2.36E-06,3.17E-05,NA,NA,Modern,4.27,2.94963063,0.609957601,0.301886792,NA
DELA_A,DELA,A,A,16,NA,0.49641,17.3,1403,3.49,31.74,18.951,1.107272727,47.03772727,44.46363636,0.028806457,0.014952593,0.27019259,6.93E-06,1.98E-06,8.91E-06,0.285145183,0.028806457,720,5.55,8.02951032,1.100491161,0.333289112,NA
MLBS_A,MLBS,A,A,9,0.942168709,0.83619,8.9,1174,3.25,33.56,30.46411765,1.275263158,51.71578947,42.28947368,0.199967272,0.087685985,0.174587241,NA,NA,NA,0.262273226,0.199967272,MODERN,3.51,3.58966105,0.457941435,0.793814433,NA
ORNL_A,ORNL,A,A,6,0.260433938,0.61689,13.9,1384,0,42.97,27.67375,0.8176,50.146,62.876,NA,NA,NA,6.46E-06,1.32E-06,7.78E-06,NA,NA,NA,4.67,7.55881221,0.693824429,0.869565217,NA
SCBI_A,SCBI,A,A,8,0.783764366,0.71925,12,1015,0,41.63,21.21153846,0.873846154,50.26153846,59.47692308,0.032327991,0.011523161,0.175374301,1.25E-05,2.89E-06,1.54E-05,0.186897462,0.032327991,MODERN,6.06,10.6706783,0.789257599,0.407103255,NA
SOAP_A,SOAP,A,A,15,1.279556936,0.45337,12.7,767,35.68,11.23,22.029,0.933421053,49.53842105,51.71875,0.084889987,0.006016469,0.004162932,8.48E-06,1.49E-06,9.98E-06,0.010179402,0.084889987,MODERN,5.72,3.16624772,0.955677747,0.315837139,NA
KONZ_A1,KONZ,A1,A,7,0.51490356,0.37216,12.3,863,7.33,21.69,16.182,0.976,46.914,49.68,0.0114916,0.003273701,0.129972662,4.75E-06,1.37E-06,6.12E-06,0.133246363,0.0114916,100,6.76,5.06624608,1.05640746,0.231343284,NA
RMNP_A1,RMNP,A1,A,6.5,0.433819077,0.47476,2.4,704,8.72,27.53,21.04333333,0.535714286,52.46214286,103.5142857,0.081945616,0.019413177,0.07349022,NA,NA,NA,0.092903397,0.081945616,>modern,6.49,6.49722992,1.393348568,0.1203,NA
STEI_A1,STEI,A1,A,7,0.474362311,0.67098,4.7,806,28.09,14.44,20.81,0.52,48.88,93.4,0.057244518,0.016121444,0.140966158,NA,NA,NA,0.157087602,0.057244518,MODERN,5.86,2.65161411,0.926525081,NA,NA
TALL_A1,TALL,A1,A,6,0.350842406,0.36682,16.9,1431,53.32,11.34,27.19769231,0.453653846,50.72634615,152.5692308,0.094446868,0.007362357,0.060542924,5.30E-06,2.38E-06,7.67E-06,0.067905281,0.094446868,MODERN,4.6,4.46509601,1.288251473,0.075242718,NA
TREE_A1,TREE,A1,A,7,0.386508774,0.66697,4.7,807,55.16,6.15,21.585,0.756153846,51.44038462,77.32307692,0.040021075,0.015408294,0.101719803,NA,NA,NA,0.117128097,0.040021075,Modern,5,3.47056662,0.918116714,NA,NA
LENO_A2,LENO,A2,A,10,0.75675142,0.37759,18,1421,9.43,18.72,30.18692308,0.941176471,49.84294118,45.93846154,0.025160698,0.016490231,0.11757446,4.34E-06,1.15E-06,5.50E-06,0.134064692,0.025160698,25,5.9,4.28419092,1.286992212,0.079114081,NA
BLAN_Ap1,BLAN,Ap1,A,10.5,0.553506103,0.66948,12.2,954,7.01,29.23,10.73615385,1.272666667,48.49933333,39.49333333,0.011376283,0.009557735,0.147437037,8.81E-06,3.65E-06,1.25E-05,0.156994772,0.011376283,>modern,6.14,5.40898846,1.096171073,0.464873536,NA
HARV_OA,HARV,OA,A,10,2.341274602,0.73066,7.2,1113,50.26,7.19,26.75736842,0.707073171,51.98146341,64.76666667,1.084014054,0.014689889,0.016836926,3.42E-05,6.94E-06,4.12E-05,0.031526814,1.084014054,MODERN,3.68,3.06499543,0.346296292,1.034017972,NA
