uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"f67c20a2-61e9-4235-b7fa-82a6dfe795fd","2018-01-26","SCBI_046.basePlot.ltr","D02","SCBI","SCBI_046","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI046.20171113.LVS","NEON.LTR.SCBI046.20171113.LVS.LIG",,1,0.596,28.45,27.12,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"84f3e589-054f-4728-b40e-339cd586d648","2018-01-26","SCBI_053.basePlot.ltr","D02","SCBI","SCBI_053","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI053.20171113.LVS","NEON.LTR.SCBI053.20171113.LVS.LIG",,1,0.552,18.20,24.40,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"c39cda40-b9c1-4f6b-96d5-43214a75a549","2018-01-26","SCBI_056.basePlot.ltr","D02","SCBI","SCBI_056","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI056.20171113.LVS","NEON.LTR.SCBI056.20171113.LVS.LIG",,1,0.562,21.79,23.60,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"5fc9f904-e41e-4863-8d06-527be3371547","2018-01-26","SCBI_062.basePlot.ltr","D02","SCBI","SCBI_062","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI062.20171113.LVS","NEON.LTR.SCBI062.20171113.LVS.LIG",,1,0.540,20.18,25.24,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"224f792b-3a88-42b6-af0a-0499d2bc6c15","2018-01-26","SCBI_064.basePlot.ltr","D02","SCBI","SCBI_064","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI064.20171113.LVS","NEON.LTR.SCBI064.20171113.LVS.LIG",,1,0.586,18.97,22.94,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"cf18ae2f-54a1-47a0-b08b-ade97e256d49","2018-01-26","SCBI_054.basePlot.ltr","D02","SCBI","SCBI_054","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI054.20171113.LVS","NEON.LTR.SCBI054.20171113.LVS.LIG",,1,0.543,23.12,22.56,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"42efeb1a-f714-4a59-be3d-ff2d276d41d9","2018-01-26","SCBI_047.basePlot.ltr","D02","SCBI","SCBI_047","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI047.20171113.LVS","NEON.LTR.SCBI047.20171113.LVS.LIG",,1,0.522,18.28,26.43,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"46dba2cb-d713-4300-aa31-02e98cabf849","2018-01-26","SCBI_058.basePlot.ltr","D02","SCBI","SCBI_058","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI058.20171113.LVS","NEON.LTR.SCBI058.20171113.LVS.LIG",,1,0.511,23.15,23.69,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"52ad15db-3294-4c10-b582-f9c36deacc7a","2018-01-26","SCBI_048.basePlot.ltr","D02","SCBI","SCBI_048","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI048.20171113.LVS","NEON.LTR.SCBI048.20171113.LVS.LIG",,1,0.519,21.69,24.82,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"20e289f4-1e1b-4633-9932-664284b7a557","2018-01-26","SCBI_066.basePlot.ltr","D02","SCBI","SCBI_066","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI066.20171113.LVS","NEON.LTR.SCBI066.20171113.LVS.LIG",,1,0.514,19.55,26.03,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"56321568-be2d-490b-a017-05d7495f6a8a","2018-01-26","SCBI_048.basePlot.ltr","D02","SCBI","SCBI_048","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI048.20171113.LVS","NEON.LTR.SCBI048.20171113.LVS.LIG",,2,0.527,22.29,24.42,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"066ba983-bdc5-4e35-b9f2-f96a2f3a4ed7","2018-01-26","SCBI_063.basePlot.ltr","D02","SCBI","SCBI_063","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI063.20171113.LVS","NEON.LTR.SCBI063.20171113.LVS.LIG",,1,0.575,17.44,25.63,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"6b131b31-fae9-4f84-9971-bc421f0fde4f","2018-01-26","SCBI_045.basePlot.ltr","D02","SCBI","SCBI_045","tower","2017-10-31T16:00Z","2017-11-13T17:00Z","NEON.LTR.SCBI045.20171113.LVS","NEON.LTR.SCBI045.20171113.LVS.LIG",,1,0.590,22.64,24.16,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
