Site,Horizon,Lumped
DEJU,A,A
DELA,A,A
MLBS,A,A
NIWO,A,A
ORNL,A,A
SCBI,A,A
SJER,A,A
SOAP,A,A
UNDE,A,A
CLBJ,A1,A
KONZ,A1,A
RMNP,A1,A
STEI,A1,A
TALL,A1,A
TREE,A1,A
WREF,A1,A
LENO,A2,A
BLAN,Ap1,A
RMNP,B/C,B
TREE,BC1,B
STEI,BC2,B
LENO,Bg,B
MLBS,Bg,B
UNDE,Bhs,B
STEI,Bs1,B
UNDE,Bs1,B
TREE,Bs2,B
RMNP,Bt,B
BLAN,Bt1,B
CLBJ,Bt1,B
KONZ,Bt1,B
ORNL,Bt1,B
SCBI,Bt1,B
SOAP,Bt1,B
TALL,Bt1,B
KONZ,Bt2,B
ORNL,Bt2,B
SCBI,Bt2,B
BLAN,Bt3,B
SOAP,Bt3,B
TALL,Bt3,B
CLBJ,Bt4,B
DELA,Btg1,B
DELA,Btg3,B
LENO,Btg3,B
DEJU,Bw1,B
HARV,Bw1,B
MLBS,Bw1,B
NIWO,Bw1,B
SJER,Bw1,B
WREF,Bw1,B
NIWO,Bw2,B
WREF,Bw2,B
HARV,Bw3,B
HARV,OA,A
